label,n_docs,words_total,ttr,hapax,avg_adj_noun_ratio,avg_dep_tree_depth,flesch_kincaid_grade
class0::jane_austen,20,31687,0.2488,742,,,
class0::mark_twain,20,47001,0.2818,919,,,
class0::topics,0,0,0.0,0,,,
class2::adventures_mischief,1,9664,0.3686,1323,,,
class2::childhood_friendship,1,6694,0.3148,1020,,,
class2::family_relationships,1,7461,0.3362,1091,,,
class2::freedom_independence,1,6546,0.3386,1118,,,
class2::love_romance,1,6938,0.3596,1165,,,
class2::morals_ethics,1,8392,0.3392,1086,,,
class2::pride_ambition,1,6665,0.3448,1144,,,
class2::socialnorms_society,1,7747,0.3456,1120,,,
class3::jane_austen,8,57416,0.2992,1014,,,
class3::mark_twain,8,59441,0.297,999,,,
