gen,idx,p_human,p_human_pct,len_chars,preview
0,4,0.8179828705708594,81.79828705708594,748,"I remember finding a bird that had hit the sliding glass door during a mid-day heatwave. It was still twitching, its tiny chest heaving in a frantic, uneven rhythm that made my own..."
0,8,0.709083892565517,70.9083892565517,721,"When the circus came to town, I was mostly fascinated by the tall man who walked on stilts, but the lions in their cramped, traveling cages made my throat feel dry. I stood just in..."
0,7,0.6504119041292626,65.04119041292627,758,"The basement lightbulb burned out while I was halfway down the stairs, leaving me suspended in a thick, velvety blackness that felt like it had weight. Usually, I would have scream..."
0,6,0.6427029812742733,64.27029812742732,740,"There was a storm cellar behind our rental house that stayed flooded for most of the spring, creating a murky, green soup that my mother warned me was full of water moccasins. I us..."
0,2,0.6229754702752905,62.297547027529056,783,"My grandfather had a locked roll-top desk in the corner of his study that smelled intensely of cherry tobacco and old, yellowing paper. One rainy Tuesday when the house was unnervi..."
0,9,0.5877974297979439,58.77974297979439,732,"I found a stash of old, handwritten letters in the back of a closet once, tied together with a fraying blue ribbon that left lint on my fingers. They were from my grandmother to a ..."
0,5,0.5720305332875291,57.20305332875291,733,"The attic stairs were a steep, narrow throat leading into the dark heat of the roof, and I only went up there when I was looking for something specific. One afternoon, while huntin..."
0,3,0.5683074950000032,56.83074950000032,780,We weren't supposed to go near the abandoned cannery after sundown because the floorboards were rotted and the local teenagers supposedly hung out there to cause trouble. Naturally...
0,1,0.42893790296808787,42.89379029680879,794,"The old drainage pipe at the edge of the property was a dark, rusted mouth that seemed to swallow the creek whole whenever the summer storms hit. I remember crouching there in the ..."
0,10,0.42078919577398255,42.07891957739825,720,"The woods behind the high school were off-limits after dark, mostly because of the steep ravine that dropped off without warning into a tangle of briars and sharp rocks. My brother..."
